StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,freq,know,freq2,deterministic_1,deterministic_2,deterministic_3,deterministic_4,deterministic_5,deterministic_6,deterministic_7,deterministic_8,probabilistic_1,probabilistic_2,probabilistic_3,probabilistic_4,probabilistic_5,probabilistic_6,probabilistic_7,probabilistic_8,hover,PROLIFIC_PID,STUDY_ID,SESSION_ID,condition
2023-06-24 21:35:44,2023-06-24 21:38:04,0,74.134.49.83,100,140,1,2023-06-24 21:38:05,R_3GqVJUeXzlNFKwO,,,,,37.1504,-84.5228,anonymous,EN,1,1,4,,,,,,,,,2,2,4,2,1,2,4,2,6,6447e67996ebef0f84372c0b,6497af9b5812d44d19ee6a07,6497b5fe835533c0c459c365,probabilistic
2023-06-24 21:38:49,2023-06-24 21:41:38,0,99.37.192.98,100,168,1,2023-06-24 21:41:39,R_1QWfNdfYUAlSVHj,,,,,42.5538,-82.9185,anonymous,EN,2,2,4,5,1,4,4,5,4,3,2,,,,,,,,,6,63fba9e68d9ff349947fece5,6497af9b5812d44d19ee6a07,6497b6ba7fb1d7787f499816,deterministic
2023-06-24 21:40:25,2023-06-24 21:41:48,0,68.102.72.20,100,82,1,2023-06-24 21:41:48,R_3frhV2nhbeHyZeu,,,,,38.0551,-97.9323,anonymous,EN,1,4,1,,,,,,,,,2,2,2,2,2,2,2,2,2,627466a4698e1ff237c3c79d,6497af9b5812d44d19ee6a07,6497b724f7371c7d1a9562b9,probabilistic
2023-06-24 21:39:48,2023-06-24 21:43:57,0,162.239.240.88,100,248,1,2023-06-24 21:43:57,R_11X7fKgL50nrbkO,,,,,35.1499,-90.0558,anonymous,EN,1,1,2,,,,,,,,,1,4,4,2,3,1,4,2,3,63d7a185b0243c3bf107239e,6497af9b5812d44d19ee6a07,6497b6fbeac282cafab350c7,probabilistic
2023-06-24 21:43:53,2023-06-24 21:44:56,0,99.98.2.162,100,63,1,2023-06-24 21:44:57,R_3Kpfaq2pgKKZcCM,,,,,34.0544,-118.2441,anonymous,EN,1,1,3,4,4,3,4,4,3,3,3,,,,,,,,,1,5ffc012cfbc94b13159ffab5,6497af9b5812d44d19ee6a07,6497b7f3f32059de273e3433,deterministic
2023-06-24 21:46:33,2023-06-24 21:47:44,0,66.75.104.23,100,71,1,2023-06-24 21:47:45,R_2Sov8WaffUmvzdj,,,,,21.4535,-158.0193,anonymous,EN,3,4,3,5,4,5,5,5,4,3,4,,,,,,,,,4,5e7aab0aa43b6e000b371af2,6497af9b5812d44d19ee6a07,6497b88ac8880b047f3f6b7b,deterministic
2023-06-24 21:47:52,2023-06-24 21:49:23,0,73.211.75.62,100,91,1,2023-06-24 21:49:24,R_2430Jvi4im9ke2O,,,,,40.5093,-88.9844,anonymous,EN,1,1,1,,,,,,,,,2,2,2,2,3,2,2,2,3,5f34d35369a2593f50228893,6497af9b5812d44d19ee6a07,6497b8deda85740c56819ee7,probabilistic
2023-06-24 21:48:10,2023-06-24 21:50:02,0,172.251.231.57,100,111,1,2023-06-24 21:50:03,R_3s7Ajln07uUcxVb,,,,,34.0903,-118.3749,anonymous,EN,1,1,4,5,3,1,2,3,2,4,5,,,,,,,,,4,63c7d37a9a6e45fae826e7d7,6497af9b5812d44d19ee6a07,6497b8f1f2db540a6d28782c,deterministic
2023-06-24 21:27:23,2023-06-24 21:50:32,0,72.176.160.171,100,1388,1,2023-06-24 21:50:33,R_3oHFJDZioB76rAt,,,,,31.1093,-97.6713,anonymous,EN,2,2,5,2,4,4,2,2,2,4,4,,,,,,,,,3,640d81b91241aa00454be61f,6497af9b5812d44d19ee6a07,6497b414a59524afbbbf7d00,deterministic
2023-06-24 21:49:45,2023-06-24 21:51:23,0,134.228.192.71,100,97,1,2023-06-24 21:51:24,R_1kUpFaogqqURE0g,,,,,41.5398,-83.5894,anonymous,EN,1,3,1,4,2,4,4,4,3,2,2,,,,,,,,,4,605fdb3d6e5f793b3e407d73,6497af9b5812d44d19ee6a07,6497b952679e0ec15f819ea9,deterministic
2023-06-24 21:47:09,2023-06-24 21:51:25,0,75.139.115.227,100,256,1,2023-06-24 21:51:26,R_1diCIhgAZGw3oU0,,,,,34.8611,-77.5885,anonymous,EN,2,3,4,,,,,,,,,3,4,3,2,1,2,3,2,5,62793bcd8628ada843f5282b,6497af9b5812d44d19ee6a07,6497b8b3fe6776205a9562a9,probabilistic
2023-06-24 21:51:40,2023-06-24 21:52:45,0,174.49.127.81,100,64,1,2023-06-24 21:52:46,R_2ceE8awLoRIlaka,,,,,33.8332,-84.6031,anonymous,EN,1,1,1,,,,,,,,,1,1,1,1,1,1,1,1,1,59387c17536c28000168c05c,6497af9b5812d44d19ee6a07,6497b9ca72ff68f920ee6a58,probabilistic
2023-06-24 21:51:43,2023-06-24 21:53:37,0,24.204.179.9,100,114,1,2023-06-24 21:53:38,R_1poMuymUt3lvS7T,,,,,42.9698,-85.9212,anonymous,EN,1,1,4,,,,,,,,,1,1,3,1,1,1,2,1,4,63fd2b9be840dc7e93705a23,6497af9b5812d44d19ee6a07,6497b9c30b7a37dcca0cb456,probabilistic
